query,mode,total_weight,growbuffer_stack_percent,register_update_stack_percent,selective_claim_stack_percent,metrics_trace_stack_percent,static_getbuffer_stack_percent,mutex_stack_percent,unknown_stack_percent
q21,selective-all,370148934410,5.966192847265801,6.00520085960282,0.02493835275985227,0.0,0.0,0.1684713341114924,51.165680026305495
q21,selective-base,376895884063,3.921101395877729,3.958736869492052,0.015509019724457727,0.0,0.0,0.1138479477075626,50.000245479597716
q21,selective-gate-cost,368919878903,5.325148921607825,5.340650251915656,0.03633507454209184,0.03055033421759141,0.0,0.1517716967881849,50.61208688434318
q21,selective-gate,371678527567,5.175788824263522,5.235331658886947,0.0259548127871364,0.0044490100378529835,0.0,0.08578772389333743,50.5297078551693
q21,static-locked,430644733727,0.0,0.0,0.0,0.0,0.013646454350293952,0.0062902178706711635,56.26493448184212
q21,static-lockfree,431249031974,0.0,0.0,0.0,0.0,0.0,0.014398757190426268,57.26362329084336
q22,dynamic,293696490725,8.153160770116655,8.171964532076382,0.0,0.0,0.0,0.03126403579877163,88.62788913937916
q22,legacy,346000472623,0.0,0.0,0.0,0.0,0.0,0.008810731895507108,88.53663622355312
q22,selective-4,302227531024,5.017149332697915,5.017149332697915,0.0,0.0,0.0,0.2393955066067575,88.59361062733147
q22,selective-all,289856513883,7.332772369083051,7.34732685103512,0.02847172757804985,0.027825986354254022,0.0,0.11172065124978119,88.38954652004674
q22,selective-base,296769794282,5.19619005003816,5.19619005003816,0.010872577203507218,0.02236670957723072,0.0,0.1133657213376334,87.84009050169404
q22,selective-gate-cost,292960932605,6.452270996995518,6.489957091185032,0.02263148038560976,0.017590602112631474,0.0,0.19645895269456043,88.62428686560263
q22,selective-gate,291034840639,6.705044309868456,6.792878266943403,0.01264002822453498,0.03222798438635841,0.0,0.11992347384721672,88.52938990166854
q22,static-locked,359106120017,0.0,0.0,0.0,0.0,0.016409458295283407,0.0022219281586240503,89.32796386812184
q22,static-lockfree,352336315285,0.0,0.0,0.0,0.0,0.01501897553682365,0.011084843743231008,89.17198435473784
q23,dynamic,422149608875,7.640303389585842,7.74786980453767,0.0,0.0,0.0,0.031586247907547584,91.429786131174
q23,legacy,526917180731,0.0,0.0,0.0,0.0,0.0,0.017926913460850576,92.07938498530257
q23,selective-4,436051890352,5.150862283584865,5.259233723190031,0.007824662329168482,0.0,0.0,0.05063664781312128,91.2822540316673
q23,selective-all,418008577117,6.183910400184163,6.320015171508211,0.007925625409051599,0.015805603429402227,0.0,0.14324483749346692,91.37970989913103
q23,selective-base,433694666939,4.478882820510246,4.701963271747632,0.015918800544003568,0.011803983747672053,0.0,0.09550323685632431,91.03722949019631
q23,selective-gate-cost,419073984996,5.724888505839607,5.848809200416951,0.021085827840361754,0.012213251557595142,0.0,0.10737115476263573,91.43719440581775
q23,selective-gate,425764719666,5.744257418788908,5.904000575885988,0.008348776532702126,0.013173820283653506,0.0,0.07863958508883878,91.13240499362705
q23,static-locked,498473901234,0.0,0.0,0.0,0.0,0.027864108162163937,0.011969582129033306,91.44137743653447
q23,static-lockfree,500741907202,0.0,0.0,0.0,0.0,0.024485060115118383,0.026829924771166306,91.693063681163
q24,dynamic,3505808478386,1.7887787280060117,1.9372742910151102,0.0,0.0,0.0,0.004185426497329734,91.44506395166582
q24,legacy,3698691034640,0.0,0.0,0.0,0.0,0.0,0.0010463932412177546,91.7175443789179
q24,selective-4,3484015966498,1.3631076738932408,1.4828184077160904,0.0029092569315025893,0.0,0.0,0.01670547812055597,91.561254694779
q24,selective-all,3512101922138,1.5745267035227901,1.7462039237650073,0.0065816795219679645,0.005177665968455195,0.0,0.01755048807424047,91.45263153814575
q24,selective-base,3501250514217,1.3309945475130245,1.4673211264772674,0.0016853485279157833,0.0016745171692780592,0.0,0.020659874552328823,91.586411738125
q24,selective-gate-cost,3476294637235,1.5486761490338141,1.678658588140127,0.0032649064835964152,0.003425494338843353,0.0,0.01691182213679137,91.49456252988453
q24,selective-gate,3511374929807,1.533833244516566,1.6935251470929795,0.0024075069934114523,0.0008175157188804616,0.0,0.009042023860933902,91.61941915458813
q24,static-locked,3545648091231,0.0,0.0,0.0,0.0,0.12040699503028768,0.008728595366398898,91.64569813519878
q24,static-lockfree,3533076775431,0.0,0.0,0.0,0.0,0.12032283367183291,0.00026937594637577584,91.54417665046196
q25,dynamic,172623557915,1.5844100921305009,1.6100269896931003,0.0,0.0,0.0,0.29748523851701775,95.36900071719275
q25,legacy,175899904376,0.0,0.0,0.0,0.0,0.0,0.3698423380659678,94.64579165838079
q25,selective-4,174513843282,0.8129122213574699,0.836782539732549,0.0,0.0,0.0,0.5116036362555363,95.06569687592905
q25,selective-all,173006025333,1.631070302649018,1.631070302649018,0.028474912885362542,0.0,0.0,0.4686574172427641,95.5503333937748
q25,selective-base,179749194570,0.9874354492914266,1.0479361787996466,0.03213607445540166,0.033438185435981614,0.0,0.43802795772382747,95.2914605596722
q25,selective-gate-cost,177161874175,1.5427110820131964,1.5308536955987528,0.015987067269350872,0.04030034584612398,0.0,0.4898170145472836,95.42878531528721
q25,selective-gate,174002590015,1.867569227400503,1.867569227400503,0.10645576768945315,0.06361894095395773,0.0,0.6547308318237047,95.35903993365625
q25,static-locked,235086994782,0.0,0.0,0.0,0.0,0.012175858144149305,0.19327368594818978,96.7018308366271
q25,static-lockfree,230582159718,0.0,0.0,0.0,0.0,0.03839085474273561,0.22312106349823482,95.92706423407358
q26,dynamic,162393960324,1.9156733869863252,1.9480063339107314,0.0,0.0,0.0,0.3060395731518782,94.7671824081107
q26,legacy,163597225771,0.0,0.0,0.0,0.0,0.0,0.2745955824634972,92.99590794342726
q26,selective-4,162777862003,1.1003553584989274,1.0921765282598654,0.0,0.0,0.0,0.563023511749472,94.10641645678871
q26,selective-all,161371277073,1.6011449161619786,1.6011449161619786,0.07228264293107978,0.13920935006195506,0.0,0.6478950039708966,93.58104824174245
q26,selective-base,165658194001,1.2455487954839979,1.2455487954839979,0.05517918721210265,0.016609370979762044,0.0,0.576288133380373,93.34691123402355
q26,selective-gate-cost,165638257599,1.6343242975627288,1.6343242975627288,0.04573962990085051,0.02498020602231317,0.0,0.38901301145049605,93.96036391893294
q26,selective-gate,162049303689,2.0223218640231995,2.0223218640231995,0.0,0.013315168599187674,0.0,0.5096382583568363,93.23077142185548
