query,mode,repeats,transfers,executed_bytes_cv,executed_files_cv,executed_bytes_max_min,peak_buffer_cv,queue_wait_p50_ms,queue_wait_p95_ms,queue_wait_max_ms,enqueue_demand_p50_mib,enqueue_demand_p95_mib,max_total_queue_mib,max_total_queue_depth,adaptive_limit_changes
q15,selective-base,3,590.0,0.11894242029153645,0.15766062462959404,1.6649570892646077,0.052250430176243416,25.51462,196.4838388999998,411.780611,4.80078125,6.2578125,152.51953125,50.0,0.0
q15,selective-gate,3,0.0,0.08588598935776535,0.09466996537313194,1.5080319615722138,0.04081608391158483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q15,selective-gate-cost,3,0.0,0.060795021151561913,0.07245014449606017,1.3829143346763166,0.03941671985949758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q16,selective-all,3,0.0,0.15137849274576481,0.15138923730528206,1.8896949777546195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q16,selective-base,3,85.0,0.15862976090408737,0.1586591613875086,1.8485141494230646,0.00045007800113385806,11.733391,42.485291,69.217399,1.1953125,1.1953125,40.640625,34.0,0.0
q16,selective-gate,3,0.0,0.1312413950227553,0.13124418699924867,1.9402605531864952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q16,selective-gate-cost,3,0.0,0.22186898003025418,0.22187637543587757,1.9341528410556177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q17,selective-all,3,1.0,0.07522910749118514,0.08374511704515225,1.4523675659888284,0.03664378889368001,206.988958,206.988958,206.988958,6.1875,6.1875,6.1875,1.0,102.0
q17,selective-base,3,527.0,0.08629567379729937,0.11677008994708363,1.4547257911923581,0.04469699918735749,29.271686,225.7776065,461.235306,5.65625,6.8515625,138.8046875,47.0,0.0
q17,selective-gate,3,2.0,0.09110669829172624,0.08860559885491152,1.4341766264828992,0.035340883150302344,230.8652135,288.64730105,295.067533,6.1875,6.1875,12.375,2.0,0.0
q17,selective-gate-cost,3,1.0,0.07262064039197345,0.07698979931925236,1.4444784771922485,0.0354562378163728,150.632476,150.632476,150.632476,6.1875,6.1875,6.1875,1.0,0.0
q18,selective-all,3,0.0,0.0698059658431905,0.07632696551064048,1.4069179973244528,0.0355514519182413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
q18,selective-base,3,498.0,0.07929042922862803,0.11662495185221407,1.4255625307546635,0.043997528607028935,32.6455545,256.1780849999994,438.68655,5.65625,6.8515625,169.7109375,44.0,0.0
q18,selective-gate,3,1.0,0.05916688608767154,0.06352912487222886,1.3882125134251602,0.03363327103329663,189.530824,189.530824,189.530824,6.1875,6.1875,6.1875,1.0,0.0
q18,selective-gate-cost,3,2.0,0.09223516839490338,0.10015856569085842,1.4085415574582096,0.03728614934057868,214.48714,273.7276357,280.309913,6.1875,6.1875,12.375,2.0,0.0
q19,selective-all,3,1.0,0.05454644847846291,0.05974136558297567,1.3093310278167698,0.02609542037333948,46.303835,46.303835,46.303835,7.25390625,7.25390625,7.25390625,1.0,100.0
q19,selective-base,3,473.0,0.05228660836809309,0.06715115295920093,1.3642859452293963,0.03233582004668188,41.4925785,211.97397715000005,483.843849,6.59375,8.03515625,173.78125,39.0,0.0
q19,selective-gate,3,0.0,0.0752961979260773,0.07287224279196607,1.4576100323539192,0.02826037746103475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q19,selective-gate-cost,3,0.0,0.05346143909091117,0.055836151203767614,1.3520429715000912,0.030405905469613324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q20,selective-all,3,0.0,0.15319907778179967,0.15319573461904465,2.0000186657707095,0.0005385205192478304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q20,selective-base,3,92.0,0.19532944716957584,0.19534921529908625,2.467848512309319,0.0005385205192478304,0.736136,6.259793,21.613702,1.1953125,1.19921875,7.17578125,6.0,0.0
q20,selective-gate,3,0.0,0.17530941201795106,0.17532057690841654,2.1931572109138155,0.0004974345523158796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q20,selective-gate-cost,3,0.0,0.15566048398822493,0.1556619794794758,2.1496997789903967,0.0004974345523158796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q21,selective-all,3,262.0,0.20792933328363467,0.23306338725863557,2.9649870629880724,0.16126219586890977,29.618492,202.18125494999992,594.850991,35.0546875,70.6171875,703.2109375,17.0,206.0
q21,selective-base,3,1010.0,0.21446891058189252,0.13310743905594175,2.899719350321101,0.15433992576116173,17.75047,183.77934714999995,597.1069,17.125,70.0703125,1403.80859375,29.0,0.0
q21,selective-gate,3,478.0,0.3175276896522717,0.26991367796887855,3.891629433142711,0.2003686251699162,23.569862,272.2605218999999,664.995317,35.94921875,70.66796875,957.30078125,19.0,0.0
q21,selective-gate-cost,3,461.0,0.16981577035282813,0.1736177624593931,2.35374860437601,0.20986668991416008,31.407367,294.656946,574.495817,36.546875,70.6953125,1062.40234375,19.0,0.0
q22,selective-all,3,344.0,0.47142093193106915,0.4672655531579112,5.855618767369625,0.16928108527484376,15.933386,140.17259580000018,483.569915,35.578125,71.33203125,581.69921875,14.0,300.0
q22,selective-base,3,1221.0,0.24379603321492457,0.16526438483391165,2.873558255931223,0.17355751113808535,13.5445775,126.046287,394.135731,22.078125,70.71484375,994.55078125,37.0,0.0
